,index,ДАТА ВРЕМЯ,КОЛИЧЕСТВО ЗАКАЗОВ
234,17898.0,2018-07-03 07:00:00,13.0
235,17899.0,2018-07-03 07:10:00,11.0
236,17900.0,2018-07-03 07:20:00,18.0
237,17901.0,2018-07-03 07:30:00,7.0
238,17902.0,2018-07-03 07:40:00,12.0
239,17903.0,2018-07-03 07:50:00,4.0
240,17904.0,2018-07-03 08:00:00,
241,17905.0,2018-07-03 08:10:00,9.0
242,17906.0,2018-07-03 08:20:00,11.0
243,17907.0,2018-07-03 08:30:00,4.0
244,17908.0,2018-07-03 08:40:00,8.0
245,17909.0,2018-07-03 08:50:00,11.0
246,17910.0,2018-07-03 09:00:00,14.0
247,17911.0,2018-07-03 09:10:00,14.0
248,17912.0,2018-07-03 09:20:00,10.0
249,17913.0,2018-07-03 09:30:00,11.0
250,17914.0,2018-07-03 09:40:00,7.0
251,17915.0,2018-07-03 09:50:00,5.0
252,17916.0,2018-07-03 10:00:00,11.0
253,17917.0,2018-07-03 10:10:00,14.0
254,17918.0,2018-07-03 10:20:00,19.0
255,17919.0,2018-07-03 10:30:00,14.0
256,17920.0,2018-07-03 10:40:00,17.0
257,17921.0,2018-07-03 10:50:00,16.0
258,17922.0,2018-07-03 11:00:00,12.0
259,17923.0,2018-07-03 11:10:00,19.0
260,17924.0,2018-07-03 11:20:00,13.0
261,17925.0,2018-07-03 11:30:00,18.0
262,17926.0,2018-07-03 11:40:00,17.0
263,17927.0,2018-07-03 11:50:00,14.0
264,17928.0,2018-07-03 12:00:00,12.0
265,17929.0,2018-07-03 12:10:00,14.0
266,17930.0,2018-07-03 12:20:00,8.0
267,17931.0,2018-07-03 12:30:00,15.0
268,17932.0,2018-07-03 12:40:00,21.0
269,17933.0,2018-07-03 12:50:00,11.0
270,17934.0,2018-07-03 13:00:00,8.0
271,17935.0,2018-07-03 13:10:00,11.0
272,17936.0,2018-07-03 13:20:00,18.0
273,17937.0,2018-07-03 13:30:00,14.0
274,17938.0,2018-07-03 13:40:00,4.0
275,17939.0,2018-07-03 13:50:00,3.0
276,17940.0,2018-07-03 14:00:00,11.0
277,17941.0,2018-07-03 14:10:00,8.0
278,17942.0,2018-07-03 14:20:00,15.0
279,17943.0,2018-07-03 14:30:00,17.0
280,17944.0,2018-07-03 14:40:00,14.0
281,17945.0,2018-07-03 14:50:00,14.0
282,17946.0,2018-07-03 15:00:00,14.0
283,17947.0,2018-07-03 15:10:00,11.0
284,17948.0,2018-07-03 15:20:00,16.0
285,17949.0,2018-07-03 15:30:00,18.0
286,17950.0,2018-07-03 15:40:00,17.0
287,17951.0,2018-07-03 15:50:00,19.0
288,17952.0,2018-07-03 16:00:00,17.0
289,17953.0,2018-07-03 16:10:00,12.0
290,17954.0,2018-07-03 16:20:00,13.0
291,17955.0,2018-07-03 16:30:00,25.0
292,17956.0,2018-07-03 16:40:00,30.0
293,17957.0,2018-07-03 16:50:00,33.0
294,17958.0,2018-07-03 17:00:00,30.0
295,17959.0,2018-07-03 17:10:00,25.0
296,17960.0,2018-07-03 17:20:00,21.0
297,17961.0,2018-07-03 17:30:00,13.0
298,17962.0,2018-07-03 17:40:00,11.0
299,17963.0,2018-07-03 17:50:00,8.0
300,17964.0,2018-07-03 18:00:00,0.0
301,17965.0,2018-07-03 18:10:00,
302,17966.0,2018-07-03 18:20:00,
303,17967.0,2018-07-03 18:30:00,17.0
304,17968.0,2018-07-03 18:40:00,18.0
305,17969.0,2018-07-03 18:50:00,24.0
306,17970.0,2018-07-03 19:00:00,14.0
307,17971.0,2018-07-03 19:10:00,15.0
308,17972.0,2018-07-03 19:20:00,15.0
309,17973.0,2018-07-03 19:30:00,11.0
310,17974.0,2018-07-03 19:40:00,17.0
311,17975.0,2018-07-03 19:50:00,23.0
312,17976.0,2018-07-03 20:00:00,8.0
313,17977.0,2018-07-03 20:10:00,5.0
314,17978.0,2018-07-03 20:20:00,14.0
315,17979.0,2018-07-03 20:30:00,10.0
316,17980.0,2018-07-03 20:40:00,9.0
317,17981.0,2018-07-03 20:50:00,15.0
318,17982.0,2018-07-03 21:00:00,10.0
319,17983.0,2018-07-03 21:10:00,28.0
320,17984.0,2018-07-03 21:20:00,21.0
321,17985.0,2018-07-03 21:30:00,13.0
322,17986.0,2018-07-03 21:40:00,9.0
323,17987.0,2018-07-03 21:50:00,9.0
324,17988.0,2018-07-03 22:00:00,6.0
325,17989.0,2018-07-03 22:10:00,7.0
326,17990.0,2018-07-03 22:20:00,12.0
327,17991.0,2018-07-03 22:30:00,13.0
328,17992.0,2018-07-03 22:40:00,16.0
329,17993.0,2018-07-03 22:50:00,11.0
330,17994.0,2018-07-03 23:00:00,30.0
331,17995.0,2018-07-03 23:10:00,19.0
332,17996.0,2018-07-03 23:20:00,16.0
333,17997.0,2018-07-03 23:30:00,20.0
334,17998.0,2018-07-03 23:40:00,25.0
335,17999.0,2018-07-03 23:50:00,35.0
336,18000.0,2018-07-04 00:00:00,32.0
337,18001.0,2018-07-04 00:10:00,18.0
338,18002.0,2018-07-04 00:20:00,16.0
339,18003.0,2018-07-04 00:30:00,23.0
340,18004.0,2018-07-04 00:40:00,31.0
341,18005.0,2018-07-04 00:50:00,22.0
342,18006.0,2018-07-04 01:00:00,18.0
343,18007.0,2018-07-04 01:10:00,7.0
344,18008.0,2018-07-04 01:20:00,26.0
345,18009.0,2018-07-04 01:30:00,10.0
346,18010.0,2018-07-04 01:40:00,13.0
347,18011.0,2018-07-04 01:50:00,27.0
348,18012.0,2018-07-04 02:00:00,14.0
349,18013.0,2018-07-04 02:10:00,18.0
350,18014.0,2018-07-04 02:20:00,19.0
351,18015.0,2018-07-04 02:30:00,20.0
352,18016.0,2018-07-04 02:40:00,22.0
353,18017.0,2018-07-04 02:50:00,16.0
354,18018.0,2018-07-04 03:00:00,15.0
355,18019.0,2018-07-04 03:10:00,17.0
356,18020.0,2018-07-04 03:20:00,28.0
357,18021.0,2018-07-04 03:30:00,14.0
358,18022.0,2018-07-04 03:40:00,12.0
359,18023.0,2018-07-04 03:50:00,8.0
360,18024.0,2018-07-04 04:00:00,24.0
361,18025.0,2018-07-04 04:10:00,15.0
362,18026.0,2018-07-04 04:20:00,11.0
363,18027.0,2018-07-04 04:30:00,28.0
364,18028.0,2018-07-04 04:40:00,12.0
365,18029.0,2018-07-04 04:50:00,14.0
366,18030.0,2018-07-04 05:00:00,15.0
367,18031.0,2018-07-04 05:10:00,15.0
368,18032.0,2018-07-04 05:20:00,
369,18033.0,2018-07-04 05:30:00,5.0
370,18034.0,2018-07-04 05:40:00,5.0
371,18035.0,2018-07-04 05:50:00,8.0
372,18036.0,2018-07-04 06:00:00,12.0
373,18037.0,2018-07-04 06:10:00,7.0
374,18038.0,2018-07-04 06:20:00,2.0
375,18039.0,2018-07-04 06:30:00,1.0
376,18040.0,2018-07-04 06:40:00,1.0
377,18041.0,2018-07-04 06:50:00,7.0
378,18042.0,2018-07-04 07:00:00,8.0
379,18043.0,2018-07-04 07:10:00,1.0
380,18044.0,2018-07-04 07:20:00,0.0
381,18045.0,2018-07-04 07:30:00,2.0
382,18046.0,2018-07-04 07:40:00,6.0
383,18047.0,2018-07-04 07:50:00,14.0
384,18048.0,2018-07-04 08:00:00,17.0
385,18049.0,2018-07-04 08:10:00,25.0
386,18050.0,2018-07-04 08:20:00,13.0
387,18051.0,2018-07-04 08:30:00,18.0
388,18052.0,2018-07-04 08:40:00,
389,18053.0,2018-07-04 08:50:00,14.0
390,18054.0,2018-07-04 09:00:00,18.0
391,18055.0,2018-07-04 09:10:00,19.0
392,18056.0,2018-07-04 09:20:00,9.0
393,18057.0,2018-07-04 09:30:00,13.0
394,18058.0,2018-07-04 09:40:00,17.0
395,18059.0,2018-07-04 09:50:00,20.0
396,18060.0,2018-07-04 10:00:00,13.0
397,18061.0,2018-07-04 10:10:00,
398,18062.0,2018-07-04 10:20:00,13.0
399,18063.0,2018-07-04 10:30:00,20.0
400,18064.0,2018-07-04 10:40:00,14.0
401,18065.0,2018-07-04 10:50:00,7.0
402,18066.0,2018-07-04 11:00:00,15.0
403,18067.0,2018-07-04 11:10:00,9.0
404,18068.0,2018-07-04 11:20:00,13.0
405,18069.0,2018-07-04 11:30:00,14.0
406,18070.0,2018-07-04 11:40:00,12.0
407,18071.0,2018-07-04 11:50:00,17.0
408,18072.0,2018-07-04 12:00:00,11.0
409,18073.0,2018-07-04 12:10:00,28.0
410,18074.0,2018-07-04 12:20:00,12.0
411,18075.0,2018-07-04 12:30:00,10.0
412,18076.0,2018-07-04 12:40:00,14.0
413,18077.0,2018-07-04 12:50:00,10.0
414,18078.0,2018-07-04 13:00:00,14.0
415,18079.0,2018-07-04 13:10:00,
416,18080.0,2018-07-04 13:20:00,11.0
417,18081.0,2018-07-04 13:30:00,13.0
418,18082.0,2018-07-04 13:40:00,12.0
419,18083.0,2018-07-04 13:50:00,6.0
420,18084.0,2018-07-04 14:00:00,16.0
421,18085.0,2018-07-04 14:10:00,25.0
422,18086.0,2018-07-04 14:20:00,9.0
423,18087.0,2018-07-04 14:30:00,7.0
424,18088.0,2018-07-04 14:40:00,4.0
425,18089.0,2018-07-04 14:50:00,13.0
426,18090.0,2018-07-04 15:00:00,13.0
427,18091.0,2018-07-04 15:10:00,14.0
428,18092.0,2018-07-04 15:20:00,16.0
429,18093.0,2018-07-04 15:30:00,5.0
430,18094.0,2018-07-04 15:40:00,11.0
431,18095.0,2018-07-04 15:50:00,13.0
432,18096.0,2018-07-04 16:00:00,16.0
433,18097.0,2018-07-04 16:10:00,22.0
434,18098.0,2018-07-04 16:20:00,20.0
435,18099.0,2018-07-04 16:30:00,26.0
436,18100.0,2018-07-04 16:40:00,29.0
437,18101.0,2018-07-04 16:50:00,35.0
438,18102.0,2018-07-04 17:00:00,22.0
439,18103.0,2018-07-04 17:10:00,14.0
440,18104.0,2018-07-04 17:20:00,22.0
441,18105.0,2018-07-04 17:30:00,16.0
442,18106.0,2018-07-04 17:40:00,16.0
443,18107.0,2018-07-04 17:50:00,17.0
444,18108.0,2018-07-04 18:00:00,8.0
445,18109.0,2018-07-04 18:10:00,8.0
446,18110.0,2018-07-04 18:20:00,12.0
447,18111.0,2018-07-04 18:30:00,6.0
448,18112.0,2018-07-04 18:40:00,6.0
449,18113.0,2018-07-04 18:50:00,13.0
450,18114.0,2018-07-04 19:00:00,10.0
451,18115.0,2018-07-04 19:10:00,18.0
452,18116.0,2018-07-04 19:20:00,22.0
453,18117.0,2018-07-04 19:30:00,22.0
454,18118.0,2018-07-04 19:40:00,
455,18119.0,2018-07-04 19:50:00,19.0
456,18120.0,2018-07-04 20:00:00,18.0
457,18121.0,2018-07-04 20:10:00,11.0
458,18122.0,2018-07-04 20:20:00,14.0
459,18123.0,2018-07-04 20:30:00,11.0
460,18124.0,2018-07-04 20:40:00,18.0
461,18125.0,2018-07-04 20:50:00,18.0
462,18126.0,2018-07-04 21:00:00,20.0
463,18127.0,2018-07-04 21:10:00,18.0
464,18128.0,2018-07-04 21:20:00,15.0
465,18129.0,2018-07-04 21:30:00,17.0
466,18130.0,2018-07-04 21:40:00,18.0
467,18131.0,2018-07-04 21:50:00,8.0
468,18132.0,2018-07-04 22:00:00,6.0
469,18133.0,2018-07-04 22:10:00,17.0
470,18134.0,2018-07-04 22:20:00,28.0
471,18135.0,2018-07-04 22:30:00,17.0
472,18136.0,2018-07-04 22:40:00,21.0
473,18137.0,2018-07-04 22:50:00,14.0
474,18138.0,2018-07-04 23:00:00,20.0
475,18139.0,2018-07-04 23:10:00,
476,18140.0,2018-07-04 23:20:00,14.0
477,18141.0,2018-07-04 23:30:00,19.0
478,18142.0,2018-07-04 23:40:00,19.0
479,18143.0,2018-07-04 23:50:00,25.0
480,18144.0,2018-07-05 00:00:00,25.0
481,18145.0,2018-07-05 00:10:00,30.0
482,18146.0,2018-07-05 00:20:00,30.0
483,18147.0,2018-07-05 00:30:00,19.0
484,18148.0,2018-07-05 00:40:00,23.0
485,18149.0,2018-07-05 00:50:00,30.0
486,18150.0,2018-07-05 01:00:00,15.0
487,18151.0,2018-07-05 01:10:00,15.0
488,18152.0,2018-07-05 01:20:00,11.0
489,18153.0,2018-07-05 01:30:00,15.0
490,18154.0,2018-07-05 01:40:00,
491,18155.0,2018-07-05 01:50:00,16.0
